Package,Before Lines %,After Lines %,Delta Lines,Before Regions %,After Regions %,Delta Regions,Tests Count,Test Status,Changed Files,Notes
PluginGitRepositorySettings,,3.9,,,8.8,,6,passed,Tests/PluginGitRepositorySettingsTests/PluginGitRepositorySettingsTests.swift; Tests/PluginGitRepositorySettingsTests/GitRepositorySettingsLifecycleTests.swift,"Fixed pre-existing failing test (expected .alwaysOn, source has .disabled). Added empty-kernel lifecycle tests."
PluginGitRepositoryWatch,55.2,55.2,0.0,,,0.0,5,passed,Tests/PluginGitRepositoryWatchTests/PluginGitRepositoryWatchTests.swift,"Added resolver edge tests: missing dir throws, worktree .git file resolution, detached HEAD nil ref, ref-pointer HEAD hash. Baseline captured after first test run; coverage stable at 55.2%."
PluginGitSmartMerge,5.9,7.3,1.4,12.4,14.7,2.3,5,passed,Tests/PluginGitSmartMergeTests/MergeSelectionStoreTests.swift,MergeSelectionStore 提升至 95.5%（新增 no-arg 默认目录计算路径冒烟测试）。剩余为 MergeStatusTile(466行) 纯 UI 与 observer 胶水。
PluginGitStash,1.3,1.3,0.0,2.5,2.5,0.0,1,passed,,"UI-heavy: StashListView (428 lines), StatusTile (137), Skeleton (109), About (99). Existing metadata test already correct (.disabled). No cheap logic to extract; views do not execute in unit tests. UI为主."
PluginGitSubmodule,1.7,4.9,3.2,3.3,8.3,5.0,6,passed,Tests/PluginGitSubmoduleTests/GitSubmoduleLifecycleTests.swift,UI 为主，逻辑已抽取. Added empty-kernel lifecycle tests.
PluginGitUnpushedStatus,3.5,3.5,0.0,,,0.0,2,passed,Tests/PluginGitUnpushedStatusTests/PluginGitUnpushedStatusTests.swift,UI 为主，逻辑已抽取. Metadata assertions already covered; added stage check.
PluginGitUserSettings,2.1,2.1,0.0,4.5,4.5,0.0,1,passed,,GitUserInfoSettingView(332行) 为主的纯设置 UI 包；plugin 仅元数据冒烟。UI 为主，无可抽取纯逻辑。
PluginGitWorktreePreheat,54.8,54.8,0.0,36.5,38.1,1.6,4,passed,Tests/PluginGitWorktreePreheatTests/WorktreeSnapshotPreheaterTests.swift,Pure WorktreeSnapshotPreheatPlan already 100%. Preheater 68% (worker detached task + cancellation paths hard to cover deterministically). Plugin file 0% (needs KernelCoreContainer wiring). Added skip-nonexistent-directory test.
PluginIcon,31.1,32.9,1.8,33.5,35.2,1.7,7,passed,Tests/PluginIconTests/IconPluginLifecycleTests.swift,Workspace model (322 lines) and view (618 lines) remain 0% - UI/view-model heavy. Logic files already at 78-98%.
PluginLicense,,2.3,,,4.2,,1,passed,Tests/PluginLicenseTests/PluginLicenseTests.swift,Pre-existing test failed: source policy .disabled vs test .alwaysOn. Fixed. UI-heavy plugin; remainder is SwiftUI Views.
PluginLogoCoffic,5.9,5.9,0.0,19.6,19.6,0.0,1,passed,,纯 Logo 绘制/About 视图包（CofficLogoView/CofficMonochromeLogoView），无业务逻辑。UI 为主，逻辑已抽取。
PluginLogoManager,,19.5,,,37.9,,5,build_fixed,Tests/PluginLogoManagerTests/LogoManagerTests.swift,Baseline failed to build: test used EmptyView without import SwiftUI. Fixed by adding import SwiftUI. LogoManager core class now 75.9% covered (register/sort/overwrite/unregister/clear/highlight). Plugin wiring and AboutView remain untested.
PluginOpenAntigravity,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenAntigravityTests/OpenAntigravityPluginTests.swift,Created new testTarget. Package is a thin OpenInPluginBase extension (.antigravity target). 15 lines total.
PluginOpenCursor,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenCursorTests/PluginOpenCursorTests.swift,No Tests dir existed; added testTarget to Package.swift and smoke test for plugin identity/policy. Trivial plugin wrapping OpenInPluginBase(target: .cursor).
PluginOpenFinder,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenFinderTests/OpenFinderPluginTests.swift,原无 Tests 目录；新增 testTarget 与插件身份/策略冒烟测试。OpenFinderPlugin 为 OpenInPluginBase 的薄子类。
PluginOpenGitHubDesktop,,100.0,100.0,,100.0,100.0,2,passed,Package.swift; Tests/PluginOpenGitHubDesktopTests/PluginOpenGitHubDesktopTests.swift,New testTarget created (no Tests dir existed). Tiny 4-line plugin subclassing OpenInPluginBase. First build attempt hit transient MagicLog manifest cache error; retry succeeded. Tests cover plugin identity and OpenTarget.githubDesktop display values.
PluginOpenKiro,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenKiroTests/OpenKiroPluginTests.swift,Created new testTarget. Package is a thin OpenInPluginBase extension (.kiro target). 15 lines total.
PluginOpenLumi,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenLumiTests/PluginOpenLumiTests.swift,No Tests dir existed; added testTarget and smoke test. Trivial plugin wrapping OpenInPluginBase(target: .lumi).
PluginOpenRemote,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenRemoteTests/OpenRemotePluginTests.swift,原无 Tests 目录；新增 testTarget 与插件身份/策略冒烟测试。
PluginOpenTerminal,,100.0,100.0,,100.0,100.0,2,passed,Package.swift; Tests/PluginOpenTerminalTests/PluginOpenTerminalTests.swift,New testTarget created (no Tests dir existed). Tiny 4-line plugin subclassing OpenInPluginBase. Tests cover plugin identity and OpenTarget.terminal display values.
PluginOpenTrae,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenTraeTests/OpenTraePluginTests.swift,Created new testTarget. Package is a thin OpenInPluginBase extension (.trae target). 15 lines total.
PluginOpenVSCode,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenVSCodeTests/PluginOpenVSCodeTests.swift,No Tests dir existed; added testTarget and smoke test. Trivial plugin wrapping OpenInPluginBase(target: .vscode).
PluginOpenXcode,0.0,100.0,100.0,0.0,100.0,100.0,1,passed,Package.swift; Tests/PluginOpenXcodeTests/OpenXcodePluginTests.swift,原无 Tests 目录；新增 testTarget 与插件身份/策略冒烟测试。
PluginPluginManager,8.7,9.8,1.1,14.5,25.0,10.5,8,passed,Tests/PluginPluginManagerTests/PluginPluginManagerTests.swift,Added tests for all PluginCategory sortOrder/systemImage cases and PluginStage experimental/deprecated displayName. Models file now 100%. Remaining uncovered are SwiftUI views (1100+ lines) and ViewModel (needs PluginManaging mock).
PluginProjectLanguages,63.1,69.2,6.1,55.5,59.3,3.8,12,passed,Tests/PluginProjectLanguagesTests/ProjectLanguagesPluginLifecycleTests.swift,Added onBoot missing ProjectProviding early-return and onShutdown no-op tests.
PluginProjectReadme,0.0,6.7,6.7,0.0,9.3,9.3,1,passed,Package.swift; Tests/PluginProjectReadmeTests/PluginProjectReadmeTests.swift,No Tests dir existed; added testTarget and smoke test for metadata. Remainder is SwiftUI ProjectReadmeView (113 lines).
PluginProjects,8.6,8.6,0.0,19.0,19.0,0.0,12,passed,,ProjectManager(386行) 与 ProjectSidebarProviding(355行) 核心逻辑已由既有测试充分覆盖；2694 行中 ProjectsSettingsDetailView(1059行)/ProjectToolbarPopoverView(171行) 为纯 SwiftUI。UI 为主，逻辑已抽取。
PluginRailView,14.5,32.3,17.8,18.6,43.1,24.5,8,passed,Tests/PluginRailViewTests/RailViewPluginTests.swift,"Added tests for tab sorting/activation, activateTab validation, addSections dedup, setVisibleTabID filtering. Provider now 65.4%. Remaining uncovered: width profile management (needs RailViewWidthStoring mock) and RailView SwiftUI view."
PluginRootView,18.1,18.1,0.0,40.8,40.8,0.0,14,passed,,"Already has comprehensive tests covering all workspace state transitions, overlay operations, and delegation. 783 lines of SwiftUI views remain 0%."
PluginSettingGeneral,9.6,9.6,0.0,12.8,12.8,0.0,5,passed,,UI 为主，逻辑已抽取. AppVersion at 80%; large SwiftUI Views (GeneralSettingsDetailView 379 lines) dominate and are not unit-testable.
PluginSettingView,11.6,11.6,0.0,30.2,30.2,0.0,10,passed,Tests/PluginSettingViewTests/SettingViewManagerTests.swift,"Manager already well-tested (64.4%); remaining uncovered lines are verbose logging branches (Self.verbose=false) and SwiftUI views (SettingView 192 lines, HeaderView 54, About 99). Added selectNil/selectSameId no-op tests."
PluginSettingsButton,22.3,22.3,0.0,45.8,45.8,0.0,1,passed,,166 行的小按钮插件；localization 100%，其余为 AboutView/SettingsButtonView 纯 UI。
PluginSidebarToggle,,14.9,,,31.2,,5,passed,Tests/PluginSidebarToggleTests/SidebarTogglePluginTests.swift; Tests/PluginSidebarToggleTests/SidebarTogglePluginLifecycleTests.swift,Fixed pre-existing compile error (test class missing @MainActor for @MainActor static property access). Added empty-kernel lifecycle tests.
PluginStatusBar,10.1,10.1,0.0,14.8,14.8,0.0,2,passed,,UI 为主，逻辑已抽取. Existing tests cover onBoot graceful degradation and onShutdown removal. Remainder is SwiftUI views.
PluginStorage,0.0,36.8,36.8,0.0,60.0,60.0,3,passed,Tests/PluginStorageTests/PluginStorageTests.swift,Package.swift 已声明 testTarget 但 Tests 目录缺失；补建后新增 StorageService 目录创建与 StorageSuperPlugin init 测试。onBoot/onRegister 需 KernelCore 容器，AboutView 为 UI。
PluginThemePack,1.6,1.6,0.0,3.5,3.5,0.0,5,passed,,"UI-heavy: ThemeSettingsDetailView is 984 lines of SwiftUI. LegacyThemeCatalog data already tested (19 themes, IDs, metadata). No cheap logic to extract."
PluginToast,14.3,16.5,2.2,26.2,30.8,4.6,9,passed,Tests/PluginToastTests/ToastCenterAdditionalTests.swift,ToastSuperPlugin went from 74.5% to 91.5%. 338 lines of SwiftUI views remain 0%.
PluginWorktreeClean,17.5,17.6,0.1,20.9,21.2,0.3,8,passed,Tests/PluginWorktreeCleanTests/RepositoryDiskUsageTests.swift,"Added RepositoryDiskUsage tests: non-directory nil, sums files, pre-cancelled nil, cache round-trip, negative rejection. Remainder is large SwiftUI views (CleanStateInfoView 877 lines)."
PluginWorktreeStatus,2.3,2.3,0.0,6.1,6.1,0.0,1,passed,,WorkingTreeStatusView(936行) 为主的纯 UI 包；plugin/observer 需 KernelCore + GitProviding Mock，ROI 低。UI 为主。
ProjectRulesKit,100.0,100.0,0.0,100.0,100.0,0.0,9,passed,,Pure logic kit already at 100% lines/regions (52 lines across 3 rule enums). No changes needed.
ProviderActivity,100.0,100.0,0.0,90.9,90.9,0.0,4,passed,,Already at 100% lines coverage. No changes needed.
ProviderActivityHeatmap,98.4,98.4,0.0,87.9,87.9,0.0,3,passed,,Already near-complete (98.4%). No additional tests needed; pure model + observer provider already covered.
ProviderAutoPush,100.0,100.0,0.0,88.9,88.9,0.0,3,passed,,已 100% 行覆盖，无需改动。
ProviderChatSection,37.9,39.8,1.9,46.9,51.3,4.4,16,passed,Tests/ProviderChatSectionTests/ProviderChatSectionTests.swift,"Added removeItem/removeBarItem/empty-ownerID no-op tests. Manager logic well-covered; remaining 69% uncovered in DefaultChatSectionProviding is SwiftUI view body (ChatSectionHostView, ChatStackView, ChatBottomFixedView, ChatHeaderRow, ChatToolbarRow, ChatActionBarView ~300 lines)."
ProviderCloneRepository,70.6,100.0,29.4,53.8,100.0,46.2,5,passed,Tests/ProviderCloneRepositoryTests/ProviderCloneRepositoryAdditionalTests.swift,"Added tests for all CloneTaskStatus.isActive cases, CloneRepositoryError descriptions, init defaults, and Codable round-trip with optional fields."
ProviderCoAuthor,69.0,75.9,6.9,65.6,71.9,6.3,5,passed,Tests/ProviderCoAuthorTests/CoAuthorFormattingTests.swift,"Added CoAuthor formatting tests: coAuthoredByLine, displayText, init fields."
ProviderCommand,98.8,98.8,0.0,90.9,90.9,0.0,4,passed,,已 98.8% 行覆盖，无需改动。
ProviderCommitForm,63.8,74.3,10.5,44.9,53.1,8.2,15,passed,Tests/ProviderCommitFormTests/ProviderCommitFormTests.swift,"Added CoAuthor computed property and CoAuthorStore add/remove/update/duplicate-email/empty tests. CoAuthor.swift now 100%. Remaining uncovered: CommitFormProviding.swift (60.8%, ~60 lines of provider state machine) and CommitCategory.swift (79.8%)."
ProviderContentView,26.5,29.9,3.4,56.2,59.4,3.2,12,passed,Tests/ProviderContentViewTests/ContentLoadingIndicatorTests.swift,Added ContentLoadingIndicator init smoke tests. DefaultContentViewProviding already comprehensively tested.
ProviderConversation,55.4,59.3,3.9,42.5,48.0,5.5,6,passed,Tests/ProviderConversationTests/ConversationEnumTests.swift,"Added enum round-trip tests: ResponseVerbosity (raw/init/aliases/default), AutomationLevel (raw/allowsTools), ReasoningEffort (raw/init/default)."
ProviderDocsView,83.8,83.8,0.0,83.3,83.3,0.0,6,passed,,DefaultDocsViewProviding 100%；协议默认 addAbout/addManual/removeEntries 已由既有测试覆盖。
ProviderGit,7.1,8.1,1.0,4.4,5.2,0.8,5,passed,Tests/ProviderGitTests/WorktreeSnapshotStoreTests.swift,Added cancellation/unknown-cache/error-propagation tests. WorktreeSnapshotStore now 90.5%. DefaultGitProvider (681 lines) is pure delegation to KitGit static ops; GitProviding (175 lines) is a protocol with default implementations requiring a full Git mock to test. Single-flight concurrent test removed due to Swift 6 Sendable closure capture rules.
ProviderGitConflictResolver,0.0,0.0,0.0,0.0,0.0,0.0,1,passed,Package.swift; Tests/ProviderGitConflictResolverTests/GitConflictResolutionProvidingTests.swift,"Created new testTarget. Package is a protocol-only declaration (11 lines, no executable code lines). Mock conforms and responds to requestPresentation."
ProviderGitRepositoryWatch,100.0,100.0,0.0,100.0,100.0,0.0,0,passed,,Already 100%. No additional tests needed.
ProviderGitUser,45.6,93.6,48.0,41.2,91.2,50.0,19,passed,Tests/ProviderGitUserTests/CollaboratorProviderTests.swift,DefaultCollaboratorProvider 原 0/115 行；新增完整 CRUD/默认交接/持久化/观察者/取消测试，并覆盖 Collaborator.title 与 GitUserPreset.title。
ProviderLogo,81.1,92.5,11.4,76.0,80.0,4.0,8,passed,Tests/ProviderLogoTests/ProviderLogoTests.swift,Added overlay-init test. DefaultLogoProviding already 100%. LogoItem now 80% (remaining 3 lines are the makeOverlay closure body).
ProviderPluginControl,28.9,89.5,60.6,25.0,87.5,62.5,7,passed,Tests/ProviderPluginControlTests/DefaultPluginControllingAdditionalTests.swift,"Added tests for attach(), enable/disable without kernel, isEnabled without kernel. Kernel must be running for enable/disable success paths; tests verify no-crash and error handling."
ProviderPluginManaging,73.0,81.1,8.1,62.5,70.3,7.8,2,passed,Tests/ProviderPluginManagingTests/PluginManagingErrorTests.swift,"Added PluginManagingError tests: error descriptions for all cases, equality."
ProviderProjectLanguages,97.5,97.5,0.0,81.6,81.6,0.0,5,passed,,ProjectLanguagesSnapshot 排序/百分比/过滤已覆盖；已 97.5%。
ProviderProjectReadme,,0.0,0.0,,0.0,0.0,1,passed,Package.swift; Tests/ProviderProjectReadmeTests/ProviderProjectReadmeTests.swift,NEW testTarget created. Source is a 4-line protocol (ProjectReadmeProviding) with no executable code. Coverage is 0% because protocol declarations have no lines to cover. Added mock conformance smoke test.
ProviderProjects,44.4,100.0,55.6,28.6,100.0,71.4,4,passed,Tests/ProviderProjectsTests/ProjectRenameErrorTests.swift,Added tests for ProjectRenameError descriptions and equality across all cases.
ProviderRailView,55.6,55.6,0.0,59.4,59.4,0.0,4,passed,Tests/ProviderRailViewTests/ProviderRailViewSectionsTests.swift,"Added section tests: registerSections sorting, addSections dedup, removeSections filter, setVisibleTabID filter. Coverage unchanged (lines already covered by existing tests)."
ProviderRootView,20.5,20.5,0.0,28.8,28.8,0.0,20,passed,,DefaultRootViewProvider/SidebarWidth/ContentFooterHeight 等逻辑已由 20 个测试充分覆盖；剩余 RootMainContentView(502行)/RootWelcomeView(125行)/WorkbenchSplitView(123行) 为纯 SwiftUI 布局。UI 为主，逻辑已抽取。
ProviderSettingView,11.7,20.3,8.6,19.6,37.5,17.9,12,passed,Tests/ProviderSettingViewTests/ProviderSettingViewTests.swift,"Added project detail section add/dedupe/sort/remove, selection-preservation-on-reregister, and selectNil tests. DefaultSettingViewProviding now 100%. Remaining uncovered: SettingView.swift (168 lines SwiftUI) and SettingViewProviding protocol (17 lines)."
ProviderSidebar,39.6,39.6,0.0,68.8,68.8,0.0,6,passed,Tests/ProviderSidebarTests/DefaultSidebarProviderAdditionalTests.swift,Added activation callback tests and nil-clear selection test. DefaultSidebarProvider already at 96.4%. 106 lines of SwiftUI views remain 0%.
ProviderStatusBar,6.5,6.5,0.0,9.1,9.1,0.0,0,passed,,UI 为主，逻辑已抽取. DefaultStatusBarProviding is a thin passthrough; remainder is SwiftUI AppStatusBarTile.
ProviderStorage,60.2,75.8,15.6,51.7,60.0,8.3,15,passed,Tests/ProviderStorageTests/ProviderStorageTests.swift,新增 makeDefaultDataRootDirectory 与无参 init 的冒烟测试，覆盖 DefaultStorageProvider 默认根路径计算。剩余未覆盖为 verbose 日志分支（verbose=false，不可达）。
ProviderTheme,88.0,88.0,0.0,89.3,89.3,0.0,28,passed,,"Already well-tested at 88% lines / 89.3% regions (above 80% target). DefaultThemeProviding 93%, LumiTheme 76.7%. No changes needed."
